Muestra	Atributo A	Atributo B	Atributo C
219	3.13730101	3.74740606	3.76703952
220	7.85134131	9.60956325	9.92966682
221	5.82228476	4.62062864	5.82591546
222	3.74401927	4.02804628	5.98901809
223	1.21905069	2.62831048	3.51043649
224	4.1562679	7.08157412	5.57633511
225	3.05232007	2.61008764	4.83589388
226	7.82562615	8.45359009	8.9455041
227	6.94965809	8.9715515	8.1698389
228	2.68574495	2.86082191	5.1655686
229	4.70432138	6.15917717	6.64102262
230	5.93607674	7.76822032	8.78095708
231	1.34431241	1.55285216	3.25631006
232	1.37884744	1.69671264	3.05346134
233	4.07164833	4.54217324	5.78794874
234	1.66630113	2.80720765	3.53602207
235	9.16893056	8.82756507	11.53491743
236	1.03836396	2.91371731	3.06130277
237	6.62630661	6.84304225	9.25035356
238	3.59445937	3.55005375	3.44027012
239	7.06787032	8.32844134	8.19777369
240	2.84067586	4.65070634	8.32867855
241	7.30589298	8.13434232	7.79872882
242	5.69153662	8.95385904	9.92663381
243	3.7381535	2.79909944	3.90594747
244	7.71546705	7.62768301	9.98100045
245	3.95763253	1.24271209	1.6789103
246	4.1546985	5.13008182	5.47444091
247	3.89501622	4.25836462	5.83189441
248	4.64367668	6.5681519	4.5563965
249	3.15371312	5.81131865	5.20839322
250	6.04956308	7.40327835	9.62924201
251	3.02304617	1.54141814	2.89019065
252	3.86205988	1.36539683	3.80304926
253	3.05703924	2.59077542	3.21557737
254	6.34469989	7.15244644	8.34393916
255	7.00215698	7.44637813	8.14224499
256	5.91003527	8.91597529	9.12942193
257	8.30602698	7.25358705	10.67197086
258	3.99411183	5.43197492	5.93471291
259	7.34139587	8.02362214	9.20440155
260	3.92122909	4.66262482	5.59788146
261	6.2207667	8.20189966	8.9302173
262	5.22298375	6.68357456	9.90488315
263	1.66518286	1.92134453	2.39557954
264	6.4369952	8.05924379	8.01216149
265	3.68282904	1.64266495	2.42828759
266	3.64459569	2.41285906	0.97860407
267	1.34274626	1.32567324	2.81941331
268	3.41585066	1.21613323	2.93291406
269	4.71944185	6.25867568	5.83628804
270	5.88558977	5.78523485	6.94221455
271	4.34775613	5.34988047	6.26402121
272	3.43147118	1.45987264	3.44511531
273	8.18617797	8.36198669	11.08716176
274	7.26357946	7.37312715	8.44995049
275	3.7179948	2.82082508	2.17024682
276	7.64572697	8.31538105	8.78435855
277	3.97291386	1.32767677	2.52105855
278	1.87190482	3.62394481	1.94878504
279	1.0214132	1.93977256	4.69256691
280	6.11941331	7.01674121	9.45377591
281	3.21757738	4.82880205	5.9182076
282	3.03578969	3.71582655	1.80429829
283	5.47559217	3.86002229	5.5231167
284	3.81302095	0.48930381	3.07599337
285	6.73443622	7.23465748	9.37101863
286	7.5249865	10.27936207	8.54128052
287	3.5705103	4.71100445	4.54425889
288	3.68959836	1.18115116	2.20665652
289	3.91054402	4.89018642	4.99146464
290	2.1387202	1.97422978	2.20257707
291	3.82451717	2.02322548	4.25837412
292	3.43981495	5.8903113	6.32429262
293	2.12500063	2.77487592	2.82918189
294	5.92022403	7.63731237	9.2771926
295	2.61470187	4.35879538	5.93742111
296	8.75257362	9.47868248	9.61765808
297	1.52571719	1.99739303	1.98089616
298	8.33355601	9.66969354	9.58183708
299	8.86162507	9.20213252	8.52698788
300	6.90502244	6.29230517	5.00227897
